School,Director(s),Grade,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
A.L. Stanback Middle School,J. Michael Capps,II,II,II,II,II,Excellent,Central,MS
Academy at Lincoln Symphonic Band,Jonathan Parnell,I/II,II,II,II,I,Excellent,Central,MS
Asheboro High School Symphonic Band,Tucker Smith,III,I,I,I,I,Superior,Central,HS
Asheboro High School Symphonic Wind Ensemble,Phil Homiller,IV,I,I,I,I,Superior,Central,HS
Brogden Middle School,Colin Tapp,I/II,C/O,C/O,C/O,C/O,Comments,Central,MS
Cedar Ridge High School,Josh Cvijanovic,III/IV,I,I,I,I,Superior,Central,HS
Cedar Ridge High School,Josh Cvijanovic,VI,I,I,I,I,Superior,Central,HS
Chatham Middle School 8th Grade Band,Noah Marcus,I/II,C/O,C/O,C/O,C/O,Comments,Central,MS
Cornerstone Charter Acadamey High School Band,Jason Barclift,IV,C/O,C/O,C/O,C/O,Comments,Central,HS
Cornerstone Charter Acadamey Intermediate Band,Jason Barclift,II,I,I,I,I,Superior,Central,HS
Culbreth Middle School,Matt Nedimyer,II,II,II,II,I,Excellent,Central,MS
Culbreth Middle School,Matt Nedimyer,III,II,II,III,II,Excellent,Central,MS
Durham School of the Arts,Ken Davis,IV,I,I,I,I,Superior,Central,HS
Eastern Randolph High School Symphonic Band,Emily Scotton,III,II,II,II,I,Excellent,Central,HS
Excelsior Classical Academy,Charles Crawford,I,C/O,C/O,C/O,C/O,Comments,Central,MS
Grimsley High School Concert Band,Jeremy Ray,III,I,I,I,I,Superior,Central,HS
Grimsley High School Wind Ensemble,Jeremy Ray,V,I,I,I,I,Superior,Central,HS
Guy B. Phillips Middle School,Ashley Sample,III,C/O,C/O,C/O,C/O,Comments,Central,MS
Hillside High School,Cybil Haskins,II,II,II,II,II,Excellent,Central,HS
Jordan-Matthews Highschool Concert Band,J.C. Harper,III/IV,IV,IV,IV,I,Average,Central,HS
Margaret B Pollard,Rebecca Clemens,II/III,I,I,I,I,Superior,Central,MS
North Asheboro Middle School,Janet Longerbeam,II,II,II,III,I,Excellent,Central,MS
