UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/05/2023","100-Concert Band","1","Amarillo High School","188901","Amarillo","Scott Myers","Robert Hinds  Sara Rhynes","","AAAAA","Non-Varsity","","188474","Peacemaker","King/Swearingen","Abracadabra","Frank Ticheli","Variations on Scarborough Fair","Calvin Custer","Robert Rubio","Nicole Baxter","Jon Seale","2","2","1","2","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","2"
"04/05/2023","100-Concert Band","1","Amarillo High School","188901001","Amarillo","Robert Hinds","Scott Myers  Sara Rhynes","","AAAAA","Varsity","","188451","The Footlifter","Filmore","Blue Lake (332) ","Chance","Angels in the Architecture (17464) ","Ticheli","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
"04/05/2023","100-Concert Band","1","Amarillo High School","188901001","Amarillo","Sara Rhynes","Robert Hinds / Scott Myers","","AAAAA","Sub Non-Varsity","A","187279","Heroes Triumphant","William Owens","Danza de Espana","Carol Brittin Chambers","The Washington Post March","Sousa / Story","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","2","1","1","C"
"04/12/2023","100-Concert Band","1","Austin Middle School","188901041","Amarillo","Chris Rodriguez","Britni Nuckols  Chase Cunningham  Justin Nuckols","","CC","Non-Varsity","","190335","The Oncoming Storm","Rogers","Night Fury","Chambers","March of The Hyperion Guards","Sheldon","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","2"
"04/12/2023","100-Concert Band","1","Austin Middle School","100-2-30074 ","Amarillo","Chris Rodriguez","Britni Nuckols  Chase Cunningham  Justin Nuckols","","CC","Varsity","","190332","Looking Up!","Sheldon","Colliding Visions","Balmages","Onward and Upward","Owens","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","3","2","1","2",""
"04/12/2023","100-Concert Band","1","Bonham Middle School","188901048","Amarillo","Parker Gravley","Rachael Whipple","","CC","Non-Varsity","","189204","Union March","Mekel Rogers","Mystery Ride (18192) ","White","Dance Celebration (647) ","Smith","Greg Montgomery","Mike Glaze","Jason Jones","1","2","3","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","2","2",""
"04/12/2023","100-Concert Band","1","Bonham Middle School","188901048","Amarillo","Rachael Whipple","Parker Gravley  Robert Hinds","","CC","Varsity","","189203","Mystery Bay March","Steve Hodges","Sketches of Canada","Michael Story","Eagles Awake!","Richard L. Saucedo","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Booker HS/JH","148901","Booker","Mary Ann Spurlock","","","AA","Varsity","","181011","Dance Celebration (647)","Smith","Our Kingsland Spring (15850) ","Hazo","Infinity March","Curnow","Michael Childs","Harold Bufe","Carroll Rhodes","1","2","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/05/2023","100-Concert Band","1","Borger High School","117-901","Borger","Kevin Kuehler","Nick Mears  Jay Thompson","None","AAAA","Varsity","","185784","Homestretch Galop","King/Milford","In The Shining Of The Stars (273) ","Sheldon","Imaginarium (20603) ","Standridge","Robert Rubio","Nicole Baxter","Jon Seale","2","1","1","1","Rodney Gurley","Mike Glaze","James Nance","2","2","1","2","1"
"04/12/2023","100-Concert Band","1","Borger Middle School","117901","Borger","Nick Mears","","","CC","Non-Varsity","","189616","Theme and Variations (6) ","Broege","Nottingham Castle (12) ","Daehn","Fighting Falcon March","Stalter","Greg Montgomery","Mike Glaze","Jason Jones","1","2","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","1","1","D"
